suburb_state,postcode,suburb,state
"AARONS PASS, NSW",2850,AARONS PASS,NSW
"ABBA RIVER, WA",6280,ABBA RIVER,WA
"ABBEY, WA",6280,ABBEY,WA
"ABBEYARD, VIC",3737,ABBEYARD,VIC
"ABBEYWOOD, QLD",4613,ABBEYWOOD,QLD
"ABBOTSBURY, NSW",2176,ABBOTSBURY,NSW
"ABBOTSFORD, NSW",2046,ABBOTSFORD,NSW
"ABBOTSFORD, VIC",3067,ABBOTSFORD,VIC
"ABBOTSFORD, QLD",4670,ABBOTSFORD,QLD
"ABBOTSHAM, TAS",7315,ABBOTSHAM,TAS
"ABECKETT STREET, VIC",8006,ABECKETT STREET,VIC
"ABELS BAY, TAS",7112,ABELS BAY,TAS
"ABERCORN, QLD",4627,ABERCORN,QLD
"ABERCROMBIE, NSW",2795,ABERCROMBIE,NSW
"ABERCROMBIE RIVER, NSW",2795,ABERCROMBIE RIVER,NSW
"ABERDARE, NSW",2325,ABERDARE,NSW
"ABERDEEN, NSW",2336,ABERDEEN,NSW
"ABERDEEN, TAS",7310,ABERDEEN,TAS
"ABERFELDIE, VIC",3040,ABERFELDIE,VIC
"ABERFELDY, VIC",3825,ABERFELDY,VIC
"ABERFOYLE, NSW",2350,ABERFOYLE,NSW
"ABERFOYLE PARK, SA",5159,ABERFOYLE PARK,SA
"ABERGLASSLYN, NSW",2320,ABERGLASSLYN,NSW
"ABERGOWRIE, QLD",4850,ABERGOWRIE,QLD
"ABERMAIN, NSW",2326,ABERMAIN,NSW
"ABERNETHY, NSW",2325,ABERNETHY,NSW
"ABINGDON DOWNS, QLD",4892,ABINGDON DOWNS,QLD
"ABINGTON, NSW",2350,ABINGTON,NSW
"ABINGTON, QLD",4660,ABINGTON,QLD
"ABMINGA STATION, SA",5440,ABMINGA STATION,SA
"ACACIA CREEK, NSW",2476,ACACIA CREEK,NSW
"LOWER ACACIA CREEK, NSW",2476,LOWER ACACIA CREEK,NSW
"ACACIA GARDENS, NSW",2763,ACACIA GARDENS,NSW
"ACACIA HILLS, NT",0822,ACACIA HILLS,NT
"ACACIA HILLS, TAS",7306,ACACIA HILLS,TAS
"ACACIA RIDGE, QLD",4110,ACACIA RIDGE,QLD
"ACHERON, VIC",3714,ACHERON,VIC
"ACLAND, QLD",4401,ACLAND,QLD
"ACTON, ACT",2601,ACTON,ACT
"ACTON, TAS",7320,ACTON,TAS
"ACTON PARK, WA",6280,ACTON PARK,WA
"ACTON PARK, TAS",7170,ACTON PARK,TAS
"ADA, VIC",3833,ADA,VIC
"ADAMINABY, NSW",2629,ADAMINABY,NSW
"ADAMS ESTATE, VIC",3984,ADAMS ESTATE,VIC
"ADAMSTOWN, NSW",2289,ADAMSTOWN,NSW
"ADAMSTOWN HEIGHTS, NSW",2289,ADAMSTOWN HEIGHTS,NSW
